id;product_id;rank;title
7201;4983;NULL_VALUE;
7202;4993;NULL_VALUE;
7203;4993;NULL_VALUE;
7204;4994;NULL_VALUE;
7205;4994;NULL_VALUE;
7206;4992;NULL_VALUE;
7207;4992;NULL_VALUE;
7208;4990;NULL_VALUE;
7209;4990;NULL_VALUE;
7210;4991;NULL_VALUE;
7211;4991;NULL_VALUE;
7212;4988;2;
7213;4988;1;
7214;4989;NULL_VALUE;
7215;4989;NULL_VALUE;
7216;4987;NULL_VALUE;
7217;4986;NULL_VALUE;
7236;4997;NULL_VALUE;
7237;4997;NULL_VALUE;
7238;4997;NULL_VALUE;
7345;4911;1;
7346;4911;2;
7347;4912;1;
7348;4912;2;
7349;4913;1;
7350;4913;2;
7351;4953;4;
7352;4954;4;
7353;4955;4;
7354;4956;4;
7355;4957;4;
7356;4945;2;
7357;4946;2;
7358;4947;2;
7359;4948;2;
7462;5137;1;
7463;5137;2;
7467;5136;1;
7468;5136;2;
7629;4997;NULL_VALUE;
7661;5165;1;
7662;5165;2;
7715;5200;NULL_VALUE;
7723;5204;NULL_VALUE;
7735;5207;1;
7736;5207;2;
7737;5208;1;
7738;5208;2;
7739;4728;2;
7740;4965;NULL_VALUE;
7741;4966;NULL_VALUE;
7743;4968;NULL_VALUE;
7744;4969;NULL_VALUE;
7745;4970;NULL_VALUE;
7746;4971;NULL_VALUE;
7747;4972;NULL_VALUE;
7748;4973;NULL_VALUE;
7749;4974;NULL_VALUE;
7750;4975;NULL_VALUE;
7751;4976;NULL_VALUE;
7752;5209;NULL_VALUE;
7753;5210;NULL_VALUE;
7770;5206;2;
7771;5206;3;
7949;5206;1;
7950;5233;1;
7951;5233;2;
7956;5236;1;
7957;5236;2;
7959;4736;2;
7960;5237;1;
7961;5237;2;
8034;5278;2;
8035;5278;3;
8036;5279;NULL_VALUE;
8037;5280;1;
8038;5280;2;
8039;5281;1;
8040;5281;2;
8052;5286;1;
8053;5286;2;
8060;4907;2;
8062;5289;2;
8063;5289;1;
8065;4908;1;
8139;5290;1;
8140;5290;2;
8143;5291;2;
8144;5291;1;
8149;5294;1;
8150;5294;2;
8225;4793;2;
8226;4712;2;
8233;5316;1;
8234;5316;2;
8235;5317;1;
8236;5317;2;
8242;4734;2;
8243;4734;3;
8259;5318;1;
8260;5318;2;
8261;5318;3;
8269;5319;2;
8271;5319;4;
8272;5319;1;
8273;5319;3;
8275;5320;2;
8280;5320;1;
8281;4841;3;
8293;5325;2;
8294;5325;1;
8297;5327;1;
8298;5327;2;
8371;5344;1;
8372;5345;1;
8373;5346;1;
8374;5346;2;
8378;5344;2;
8379;5345;2;
8416;5355;1;
8417;5355;2;
8418;5355;3;
8420;5356;1;
8427;4896;2;
8429;5359;2;
8430;5359;1;
8437;4849;2;
8438;4849;1;
8439;4850;1;
8440;4850;2;
8441;4851;1;
8442;4851;2;
8443;4852;1;
8444;4852;2;
8445;4853;1;
8446;4853;2;
8449;5056;2;
8462;5363;1;
8463;5363;2;
8464;5363;3;
8472;5366;NULL_VALUE;
8473;5367;1;
8475;5368;3;
8476;5368;2;
8477;5368;1;
8486;4789;1;
8491;4789;2;
8498;5371;NULL_VALUE;
8499;4767;3;
8503;5373;NULL_VALUE;
8526;5375;NULL_VALUE;
8527;5376;NULL_VALUE;
8530;4854;1;
8531;4854;2;
8541;4824;1;
8542;4824;2;
8544;5381;NULL_VALUE;
8569;5383;1;
8570;5383;2;
8575;5385;1;
8577;5386;1;
8578;5386;2;
8579;5385;2;
8582;4780;2;
8583;4780;1;
8584;4783;1;
8585;4783;2;
8586;4778;1;
8587;4778;2;
8588;4779;1;
8589;4779;2;
8590;4823;1;
8591;4823;2;
8592;4781;1;
8593;4781;2;
8595;4782;2;
8596;4782;1;
8598;4784;2;
8600;4786;2;
8602;4787;2;
8603;4788;1;
8604;4788;2;
8605;4785;1;
8606;4785;2;
8608;5347;2;
8609;5347;3;
8611;5347;1;
8612;5379;1;
8613;5379;2;
8614;4802;1;
8649;4769;2;
8650;4769;1;
8652;4768;2;
8654;4770;1;
8655;4770;2;
8657;4766;2;
8660;4764;2;
8662;4764;1;
8666;4762;2;
8671;5387;3;
8672;5387;2;
8673;5235;1;
8674;5235;2;
8676;5293;2;
8685;5388;1;
8686;5388;2;
8687;5389;1;
8688;5389;2;
8689;5390;1;
8690;5390;2;
8694;5391;1;
8695;5391;2;
8696;5391;3;
8697;4915;1;
8698;4915;2;
8699;4915;3;
8700;4914;1;
8701;4914;2;
8702;4914;3;
8704;4733;2;
8705;4733;1;
8782;5394;6;
8784;5409;1;
8785;5409;3;
8786;5410;1;
8787;5411;1;
8788;5412;1;
8790;5414;1;
8791;5414;3;
8792;5414;4;
8793;5410;2;
8794;5411;2;
8795;5409;2;
8796;5412;2;
8797;5414;2;
8798;5415;1;
8799;5415;2;
8800;5415;3;
8801;5416;1;
8802;5416;2;
8803;5416;3;
8804;5417;1;
8805;5417;2;
8806;5417;3;
8807;5418;1;
8808;5418;2;
8810;5419;1;
8811;5419;2;
8812;5419;3;
8813;5419;4;
8814;5420;1;
8815;5420;2;
8816;5420;3;
8818;5421;2;
8819;5421;3;
8820;5421;1;
8821;5422;1;
8822;5422;2;
8825;4763;2;
8836;4797;2;
8838;5321;1;
8839;5321;2;
8846;5299;2;
8847;5300;1;
8848;5300;2;
8852;4748;2;
8859;5428;1;
8860;5428;2;
8864;5429;2;
8866;5430;2;
8868;5431;2;
8870;5432;2;
8872;5433;2;
8873;5430;1;
8874;5431;1;
8875;5433;1;
8876;5429;1;
8877;5432;1;
8892;4795;2;
8894;4795;1;
8901;5434;4;
8905;5434;2;
8906;5434;3;
8907;5434;1;
8908;5434;5;
8909;5435;1;
8910;5435;2;
8911;5435;3;
8919;4798;1;
8920;4798;2;
8921;4798;3;
8922;5418;3;
8931;5439;2;
8933;5440;1;
8934;5440;2;
8935;5440;3;
8938;5164;1;
8939;5164;2;
8943;5309;2;
8963;5307;2;
8965;5308;2;
9016;4836;1;
9017;4836;2;
9018;4837;1;
9019;4837;2;
9023;5452;1;
9024;4771;1;
9027;5445;1;
9028;5445;2;
9029;5445;3;
9030;5448;1;
9031;5448;2;
9032;5448;3;
9033;5449;1;
9034;5449;2;
9035;5449;3;
9036;5220;1;
9037;5220;2;
9038;5220;3;
9039;4811;1;
9040;4811;2;
9041;4811;3;
9042;5446;1;
9043;5446;2;
9044;5446;3;
9045;5219;1;
9046;5219;2;
9047;5219;3;
9048;4809;1;
9049;4809;2;
9050;4809;3;
9051;5447;1;
9052;5447;2;
9053;5447;3;
9054;5214;1;
9055;5214;2;
9056;5214;3;
9057;5454;1;
9058;5454;2;
9059;5454;3;
9060;4805;1;
9061;4805;2;
9062;4805;3;
9063;5455;1;
9064;5455;2;
9065;5455;3;
9066;5216;1;
9067;5216;2;
9068;5216;3;
9075;4807;2;
9076;4807;3;
9077;5215;1;
9078;5215;2;
9079;5215;3;
9080;4806;1;
9081;4806;2;
9082;4806;3;
9083;5218;1;
9084;5218;2;
9085;5218;3;
9087;4810;2;
9088;4810;3;
9089;5444;1;
9090;5444;2;
9091;5444;3;
9092;5217;1;
9093;5217;2;
9094;5217;3;
9096;4808;2;
9097;4808;3;
9098;5443;1;
9099;5443;2;
9100;5443;3;
9101;5213;1;
9102;5213;2;
9103;5213;3;
9105;4804;2;
9106;4804;3;
9107;4812;1;
9108;4812;2;
9109;4812;3;
9110;4812;4;
9111;4812;5;
9112;5450;1;
9113;5450;2;
9114;5450;3;
9116;4784;1;
9120;5205;2;
9122;5457;2;
9123;5205;1;
9124;5457;1;
9134;5287;1;
9135;5287;2;
9136;5287;3;
9137;5459;1;
9138;5459;2;
9139;5461;1;
9140;5461;2;
9155;4801;2;
9169;5463;2;
9170;5463;1;
9171;5387;1;
9174;4742;4;
9184;5300;3;
9185;5299;3;
9186;4743;1;
9187;4743;2;
9191;4743;3;
9192;5465;1;
9194;5465;4;
9195;5464;3;
9196;5465;2;
9197;5465;3;
9202;5204;1;
9209;4817;1;
9223;4736;1;
9226;4762;1;
9228;4766;1;
9230;4801;1;
9231;4803;1;
9232;4804;1;
9233;4807;1;
9234;4808;1;
9235;4838;1;
9236;4841;1;
9238;4873;1;
9241;4712;3;
9242;5470;NULL_VALUE;
9255;4797;1;
9257;4763;1;
9258;4787;1;
