id;product_id;value_id;price;default;note;rank;use_product_specific_note;use_product_specific_rank;use_product_specific_price;use_product_specific_image;optional
198;4748;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
199;4748;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
200;4748;46;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
201;4730;52;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
202;4749;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
203;4749;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
204;4749;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
205;4749;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
206;4750;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
207;4750;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
208;4750;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
211;4751;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
212;4751;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
213;4751;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
214;4752;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
215;4752;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
216;4752;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
217;4753;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
218;4753;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
219;4753;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
220;4754;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
221;4754;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
222;4754;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
223;4754;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
224;4754;5;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
225;4755;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
226;4755;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
227;4755;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
228;4755;9;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
229;4755;40;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
230;4756;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
231;4756;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
232;4756;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
233;4756;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
234;4756;9;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
235;4756;40;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
236;4756;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
237;4757;54;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
238;4757;55;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
239;4757;58;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
240;4757;59;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
241;4757;60;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
242;4757;61;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
243;4757;62;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
244;4757;63;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
245;4757;68;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
246;4758;64;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
247;4758;65;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
248;4758;66;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
249;4758;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
250;4759;69;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
251;4760;12;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
252;4760;72;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
261;4762;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
262;4762;60;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
263;4762;69;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
264;4762;63;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
265;4763;1;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
266;4763;14;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
267;4763;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
268;4763;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
269;4763;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
270;4763;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
271;4763;9;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
272;4763;5;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
274;4763;35;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
275;4764;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
282;4766;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
283;4766;61;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
284;4766;60;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
285;4766;69;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
286;4767;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
287;4767;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
288;4767;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
290;4767;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
291;4767;5;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
292;4768;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
293;4768;69;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
294;4769;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
295;4769;69;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
296;4770;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
297;4770;69;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
298;4771;35;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
299;4771;34;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
300;4772;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
301;4772;74;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
302;4773;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
303;4774;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
304;4775;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
305;4776;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
306;4777;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
307;4778;13;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
308;4778;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
309;4778;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
310;4778;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
311;4778;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
312;4779;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
313;4779;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
314;4780;13;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
315;4780;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
316;4780;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
317;4780;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
318;4780;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
319;4779;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
320;4781;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
321;4781;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
322;4781;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
323;4782;13;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
324;4782;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
325;4782;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
326;4783;13;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
327;4783;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
328;4783;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
329;4783;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
330;4783;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
331;4784;13;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
332;4784;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
333;4784;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
334;4785;14;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
335;4785;72;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
336;4786;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
337;4786;13;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
338;4786;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
339;4786;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
340;4787;13;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
341;4787;15;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
342;4787;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
343;4787;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
344;4788;13;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
345;4788;73;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
346;4788;71;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
347;4789;14;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
348;4789;11;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
349;4789;10;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
350;4789;9;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
351;4790;47;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
352;4790;52;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
353;4790;36;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
354;4790;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
355;4791;12;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
357;4791;37;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
358;4791;72;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
359;4791;75;0,00;0;"=""""";NULL_VALUE;0;0;0;0;1
