id;h1;link;meta_keywords;meta_description;original_code;own_code;ean_code;vat_id;base_price;common_retail_price;shopping_price;discount;discount_type;stocked_items;minimal_count;product_availability_id;availability_description;guarantee;guarantee_unit;short_description;main_description;homepage;sale;recommended;show;supplier_id;producer_id;configuration_parameter_group_id;name;is_vat_included;facebook;social_plugin;new_product;discount_since;discount_to;show_top_category_description;show_2nd_top_category_description;show_3rd_top_category_description;max_cpc;toll_free;price_per_descriptive_parameter_id;meta_title;feed_name;categories;relatedProducts
4747;Nábytkový zámek typ 300 s knoflíkem pro visací zámek - 19x16 mm;nabytkovy-zamek-typ-300-s-knoflikem-pro-visaci-zamek-1916-mm;;;;14045850;;5;123,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Univerzální zámek uzamykaný pomocí visacího zámku. Visací zámek není součástí balení.&nbsp;V případě montáže do dřevěného materiálu je možné doobjednat podložku proti pootočení viz.Doplňky, díly a příslušenství.</p&> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek typ 300 s knoflíkem pro visací zámek - 19x16 mm;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek typ 300 s knoflíkem pro visací zámek - 19x16 mm;Nábytkový zámek typ 300 s knoflíkem pro visací zámek - 19x16 mm;16;
4748;Přídavný zámek typ 281 s knoflíkem;pridavny-zamek-typ-281-s-knoflikem;;;;1401230;;5;165,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Přídavný zámek sloužící k uzamykání převlíkacích kabin a kabin pro osobní soukromí.</p> ;0;1;0;1;NULL_VALUE;NULL_VALUE;1;Přídavný zámek typ 281 s knoflíkem;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Přídavný zámek typ 281 s knoflíkem;Přídavný zámek typ 281 s knoflíkem;18;
4749;Nábytkový zámek x-44/X pro plechový nábytek;nabytkovy-zamek-x-44x-pro-plechovy-nabytek;;;;524a967870805;;5;0,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Zámek využívaný k zamykání plechových skříní a zásuvek bez použití převlečné matice.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek x-44/X pro plechový nábytek;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek x-44/X pro plechový nábytek;Nábytkový zámek x-44/X pro plechový nábytek;14,16;
4750;Nábytkový zámek x-44/D pro plechový nábytek;nabytkovy-zamek-x-44d-pro-plechovy-nabytek;;;;1408090;;5;63,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Centrální zámek pro uzamykání zásuvek vyrobených z plechu.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek x-44/D pro plechový nábytek;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek x-44/D pro plechový nábytek;Nábytkový zámek x-44/D pro plechový nábytek;14,16;
4751;Nábytkový zámek L-klika typ L-44/X pro plechový nábytek;nabytkovy-zamek-l-klika-typ-l-44x-pro-plechovy-nabytek;;;;5c501ec470742;;5;0,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Zámek slouží k zamykání plechových skříní, boxů a autoskříní.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek L-klika typ L-44/X pro plechový nábytek;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek L-klika typ L-44/X pro plechový nábytek;Nábytkový zámek L-klika typ L-44/X pro plechový nábytek;16;
4752;Nábytkový zámek T-klika typ T-44/X pro plechový nábytek;nabytkovy-zamek-t-klika-typ-t-44x-pro-plechovy-nabytek;;;;1408055;;5;172,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Zámek slouží k zamykání plechových skříní, boxů a autoskříní.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek T-klika typ T-44/X pro plechový nábytek;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek T-klika typ T-44/X pro plechový nábytek;Nábytkový zámek T-klika typ T-44/X pro plechový nábytek;16;
4753;Nábytkový zámek T-klika typ 177 pro plechový nábytek;nabytkovy-zamek-t-klika-typ-177-pro-plechovy-nabytek;;;;1408056;;5;204,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Zámek slouží k zamykání plechových skříní, boxů a autoskříní.</p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Nábytkový zámek T-klika typ 177 pro plechový nábytek;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Nábytkový zámek T-klika typ 177 pro plechový nábytek;Nábytkový zámek T-klika typ 177 pro plechový nábytek;16;
4754;Centrální zásuvkový zámek 851N/600/3-boční;centralni-zasuvkovy-zamek-851n6003-bocni;;;;1401328;;5;139,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;<p> 	Zámek určený k centrálnímu zamykání zásuvek nad sebou, pomocí jednoho zámku a táhla.</p> <p> 	Využití:</p> <p> 	Zámek určený k centrálnímu zamykání 3ks zásuvek nad sebou s boční montáží zámku. Pro více zásuvek je nu&tno dokoupit blokovací kolíky navíc. Při nevhodné výšce blokovacího kolíku 13mm, možnost dokoupení kolíků o výšce 8mm nebo 19mm.&nbsp;<span stylefont-family: proxima-nova, sans-serif; font-size: 13px; line-height: 18.2px; text-align: ju&stify;>V případě použití tzv. blokací zásuvek, doporučujeme objednat plastové blokovací segmenty pro každou zásuvku.</span></p> ;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Centrální zásuvkový zámek 851N/600/3-boční;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Centrální zásuvkový zámek 851N/600/3-boční;Centrální zásuvkový zámek 851N/600/3-boční;15;
4755;Centrální zásuvkový zámek 1018/600/3-čelní;centralni-zasuvkovy-zamek-10186003-celni;;;;1403113;;5;110,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;10;;2;years;;<p styletext-align: justify;> 	Zámek určený k centrálnímu zamykání zásuvek nad sebou, pomocí jednoho zámku a táhla.</p> <p styletext-align: justify;> 	Využití:</p> <p styletext-align: justify;> 	Zámek určený k centrál&nímu zamykání 3ks zásuvek nad sebou s čelní montáží zámku. Pro více zásuvek je nutno dokoupit blokovací kolíky navíc. V případě jiné výšky blokovacího kolíku než 13mm, možnost dokoupení kolíků 8mm a 19mm. Pro jinou výšku kon&tejneru lze dokoupit táhla o délce 500, 700, 800, 1200 a 1300mm. Možnost kombinace všech uvedených parametrů vč. zámku na stejný uzávěr. To znamená např. požadujeme uzamykání 4 zásuvek u kontejneru o výšce 700mm a zamykání na stejný& uzávěr, protože v místnosti budou 2 tyto kontejnery a chceme je odemykat jedním klíčem a navíc bude potřeba kolík o výšce 8mm. V tomto případě objednávka bude znít takto:</p> <p styletext-align: justify;> 	2ks samostatný zámek &1018 SU (stejný uzávěr) ø19x20mm, ni-lesk - kód 1403136&nbsp;</p> <p styletext-align: justify;> 	2ks táhlo 700mm - kód 1404190</p> <p styletext-align: justify;> 	4ks plechové vodítko táhla - kód 1404091</p> <p styletext-align&: justify;> 	8ks blokovací kollík 8mm - kód 1404310 &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &n&bsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p> <p styletext-alig&n: justify;> 	V případě použití tzv. blokací zásuvek, doporučujeme objednat plastové blokovací segmenty pro každou zásuvku - kód 1402010</p> <p styletext-align: justify;> 	<strong>Všechny tyto nestandardní díly najdete v odděle&ní &nbsp;doplňky, díly a příslušenství.&nbsp;</strong></p> <p styletext-align: justify;> 	Jestliže vám vyhovuje standardní provedení centrálního zámku 1018/600/3, stačí zvolit objednací kód 1403113 a obdržíte standardní sa&du viz. popis výše (1ks zámek ø16,5x20mm s rozetou, táhlo 600mm, 2ks plechové vodítko táhla a 3ks blokovací kolík 13mm).</p> ;1;0;0;1;NULL_VALUE;NULL_VALUE;1;Centrální zásuvkový zámek 1018/600/3-čelní;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Centrální zásuvkový zámek 1018/600/3-čelní;Centrální zásuvkový zámek 1018/600/3-čelní;15;
4756;Samostatný centrální zásuvkový zámek 1018 bez příslušenství;samostatny-centralni-zasuvkovy-zamek-1018-bez-prislusenstvi;;;;525270e6d0a19;;5;0,00;0,00;0,00;0,00;1;NULL_VALUE;0,00;7;;2;years;;;0;0;0;1;NULL_VALUE;NULL_VALUE;1;Samostatný centrální zásuvkový zámek 1018 bez příslušenství;0;0;NULL_VALUE;0;NULL_VALUE;NULL_VALUE;0;0;0;NULL_VALUE;1;NULL_VALUE;Samostatný centrální zásuvkový zámek 1018 bez příslušenství;Samostatný centrální zásuvkový zámek 1018 bez příslušenství;15;
